withdrawal_id,card_number,atm_id,location,amount,fee,timestamp,balance_after
ID000001,card_number_1,ID000001,location_1,63.7,fee_1,2026-03-02,63.7
ID000002,card_number_2,ID000002,location_2,77.4,fee_2,2026-03-03,77.4
ID000003,card_number_3,ID000003,location_3,91.1,fee_3,2026-03-04,91.1
ID000004,card_number_4,ID000004,location_4,104.8,fee_4,2026-03-05,104.8
ID000005,card_number_5,ID000005,location_5,118.5,fee_5,2026-03-06,118.5
ID000006,card_number_6,ID000006,location_6,132.2,fee_6,2026-03-07,132.2
ID000007,card_number_7,ID000007,location_7,145.9,fee_7,2026-03-08,145.9
ID000008,card_number_8,ID000008,location_8,159.6,fee_8,2026-03-09,159.6
ID000009,card_number_9,ID000009,location_9,173.3,fee_9,2026-03-10,173.3
ID000010,card_number_10,ID000010,location_10,187.0,fee_10,2026-03-11,187.0
ID000011,card_number_11,ID000011,location_11,200.7,fee_11,2026-03-12,200.7
ID000012,card_number_12,ID000012,location_12,214.4,fee_12,2026-03-13,214.4
ID000013,card_number_13,ID000013,location_13,228.1,fee_13,2026-03-14,228.1
ID000014,card_number_14,ID000014,location_14,241.8,fee_14,2026-03-15,241.8
ID000015,card_number_15,ID000015,location_15,255.5,fee_15,2026-03-16,255.5
ID000016,card_number_16,ID000016,location_16,269.2,fee_16,2026-03-17,269.2
ID000017,card_number_17,ID000017,location_17,282.9,fee_17,2026-03-18,282.9
ID000018,card_number_18,ID000018,location_18,296.6,fee_18,2026-03-19,296.6
ID000019,card_number_19,ID000019,location_19,310.3,fee_19,2026-03-20,310.3
ID000020,card_number_20,ID000020,location_20,324.0,fee_20,2026-03-21,324.0
ID000021,card_number_21,ID000021,location_21,337.7,fee_21,2026-03-22,337.7
ID000022,card_number_22,ID000022,location_22,351.4,fee_22,2026-03-23,351.4
ID000023,card_number_23,ID000023,location_23,365.1,fee_23,2026-03-24,365.1
ID000024,card_number_24,ID000024,location_24,378.8,fee_24,2026-03-25,378.8
ID000025,card_number_25,ID000025,location_25,392.5,fee_25,2026-03-26,392.5
ID000026,card_number_26,ID000026,location_26,406.2,fee_26,2026-03-27,406.2
