transaction_id,card_number,merchant_name,merchant_category,amount,currency,timestamp,is_fraud,country
ID000001,card_number_1,Demo Merchant_Name 1,customer,63.7,GBP,2026-03-02,False,DE
ID000002,card_number_2,Demo Merchant_Name 2,risk,77.4,EUR,2026-03-03,False,DE
ID000003,card_number_3,Demo Merchant_Name 3,credit,91.1,USD,2026-03-04,False,TN
ID000004,card_number_4,Demo Merchant_Name 4,risk,104.8,GBP,2026-03-05,False,FR
ID000005,card_number_5,Demo Merchant_Name 5,customer,118.5,GBP,2026-03-06,False,DE
ID000006,card_number_6,Demo Merchant_Name 6,operations,132.2,EUR,2026-03-07,False,DE
ID000007,card_number_7,Demo Merchant_Name 7,risk,145.9,USD,2026-03-08,True,FR
ID000008,card_number_8,Demo Merchant_Name 8,operations,159.6,EUR,2026-03-09,False,DE
ID000009,card_number_9,Demo Merchant_Name 9,operations,173.3,USD,2026-03-10,False,DE
ID000010,card_number_10,Demo Merchant_Name 10,risk,187.0,GBP,2026-03-11,False,DE
ID000011,card_number_11,Demo Merchant_Name 11,operations,200.7,EUR,2026-03-12,False,FR
ID000012,card_number_12,Demo Merchant_Name 12,operations,214.4,USD,2026-03-13,False,US
ID000013,card_number_13,Demo Merchant_Name 13,credit,228.1,EUR,2026-03-14,False,TN
ID000014,card_number_14,Demo Merchant_Name 14,customer,241.8,EUR,2026-03-15,True,FR
ID000015,card_number_15,Demo Merchant_Name 15,retail,255.5,EUR,2026-03-16,False,FR
ID000016,card_number_16,Demo Merchant_Name 16,retail,269.2,GBP,2026-03-17,False,US
ID000017,card_number_17,Demo Merchant_Name 17,retail,282.9,USD,2026-03-18,False,US
ID000018,card_number_18,Demo Merchant_Name 18,risk,296.6,EUR,2026-03-19,False,FR
ID000019,card_number_19,Demo Merchant_Name 19,operations,310.3,GBP,2026-03-20,False,TN
ID000020,card_number_20,Demo Merchant_Name 20,operations,324.0,GBP,2026-03-21,False,US
ID000021,card_number_21,Demo Merchant_Name 21,retail,337.7,EUR,2026-03-22,True,TN
