transaction_id,card_number,merchant_name,merchant_category,amount,currency,timestamp,is_fraud,country
ID000001,card_number_1,Demo Merchant_Name 1,credit,63.7,EUR,2026-03-02,False,FR
ID000002,card_number_2,Demo Merchant_Name 2,risk,77.4,USD,2026-03-03,False,TN
ID000003,card_number_3,Demo Merchant_Name 3,customer,91.1,EUR,2026-03-04,False,US
ID000004,card_number_4,Demo Merchant_Name 4,risk,104.8,GBP,2026-03-05,False,US
ID000005,card_number_5,Demo Merchant_Name 5,credit,118.5,EUR,2026-03-06,False,TN
ID000006,card_number_6,Demo Merchant_Name 6,retail,132.2,EUR,2026-03-07,False,DE
ID000007,card_number_7,Demo Merchant_Name 7,risk,145.9,EUR,2026-03-08,True,DE
ID000008,card_number_8,Demo Merchant_Name 8,customer,159.6,USD,2026-03-09,False,FR
ID000009,card_number_9,Demo Merchant_Name 9,customer,173.3,GBP,2026-03-10,False,US
ID000010,card_number_10,Demo Merchant_Name 10,operations,187.0,USD,2026-03-11,False,DE
ID000011,card_number_11,Demo Merchant_Name 11,risk,200.7,EUR,2026-03-12,False,DE
ID000012,card_number_12,Demo Merchant_Name 12,customer,214.4,USD,2026-03-13,False,FR
ID000013,card_number_13,Demo Merchant_Name 13,risk,228.1,EUR,2026-03-14,False,US
ID000014,card_number_14,Demo Merchant_Name 14,credit,241.8,USD,2026-03-15,True,US
ID000015,card_number_15,Demo Merchant_Name 15,retail,255.5,GBP,2026-03-16,False,FR
ID000016,card_number_16,Demo Merchant_Name 16,risk,269.2,EUR,2026-03-17,False,FR
ID000017,card_number_17,Demo Merchant_Name 17,risk,282.9,GBP,2026-03-18,False,FR
ID000018,card_number_18,Demo Merchant_Name 18,risk,296.6,USD,2026-03-19,False,FR
ID000019,card_number_19,Demo Merchant_Name 19,customer,310.3,USD,2026-03-20,False,DE
ID000020,card_number_20,Demo Merchant_Name 20,customer,324.0,USD,2026-03-21,False,DE
ID000021,card_number_21,Demo Merchant_Name 21,risk,337.7,GBP,2026-03-22,True,DE
ID000022,card_number_22,Demo Merchant_Name 22,operations,351.4,GBP,2026-03-23,False,DE
ID000023,card_number_23,Demo Merchant_Name 23,risk,365.1,USD,2026-03-24,False,FR
ID000024,card_number_24,Demo Merchant_Name 24,operations,378.8,USD,2026-03-25,False,FR
ID000025,card_number_25,Demo Merchant_Name 25,credit,392.5,GBP,2026-03-26,False,FR
ID000026,card_number_26,Demo Merchant_Name 26,retail,406.2,GBP,2026-03-27,False,TN
ID000027,card_number_27,Demo Merchant_Name 27,credit,419.9,GBP,2026-03-28,False,DE
ID000028,card_number_28,Demo Merchant_Name 28,credit,433.6,USD,2026-03-01,True,FR
ID000029,card_number_29,Demo Merchant_Name 29,customer,447.3,EUR,2026-03-02,False,FR
ID000030,card_number_30,Demo Merchant_Name 30,retail,461.0,EUR,2026-03-03,False,FR
ID000031,card_number_31,Demo Merchant_Name 31,risk,474.7,GBP,2026-03-04,False,DE
ID000032,card_number_32,Demo Merchant_Name 32,risk,488.4,GBP,2026-03-05,False,TN
ID000033,card_number_33,Demo Merchant_Name 33,credit,502.1,EUR,2026-03-06,False,TN
ID000034,card_number_34,Demo Merchant_Name 34,retail,515.8,GBP,2026-03-07,False,US
ID000035,card_number_35,Demo Merchant_Name 35,operations,529.5,EUR,2026-03-08,True,FR
ID000036,card_number_36,Demo Merchant_Name 36,credit,543.2,EUR,2026-03-09,False,FR
ID000037,card_number_37,Demo Merchant_Name 37,retail,556.9,USD,2026-03-10,False,US
