kyc_id,customer_id,full_name,date_of_birth,nationality,id_type,id_number,id_expiry,address,verification_status,verification_date,risk_rating
ID000001,ID000001,Demo Full_Name 1,2026-03-02,nationality_1,ID000001,ID000001,ID000001,address_1,completed,2026-03-02,risk_rating_1
ID000002,ID000002,Demo Full_Name 2,2026-03-03,nationality_2,ID000002,ID000002,ID000002,address_2,approved,2026-03-03,risk_rating_2
ID000003,ID000003,Demo Full_Name 3,2026-03-04,nationality_3,ID000003,ID000003,ID000003,address_3,approved,2026-03-04,risk_rating_3
ID000004,ID000004,Demo Full_Name 4,2026-03-05,nationality_4,ID000004,ID000004,ID000004,address_4,pending,2026-03-05,risk_rating_4
ID000005,ID000005,Demo Full_Name 5,2026-03-06,nationality_5,ID000005,ID000005,ID000005,address_5,completed,2026-03-06,risk_rating_5
ID000006,ID000006,Demo Full_Name 6,2026-03-07,nationality_6,ID000006,ID000006,ID000006,address_6,approved,2026-03-07,risk_rating_6
ID000007,ID000007,Demo Full_Name 7,2026-03-08,nationality_7,ID000007,ID000007,ID000007,address_7,completed,2026-03-08,risk_rating_7
ID000008,ID000008,Demo Full_Name 8,2026-03-09,nationality_8,ID000008,ID000008,ID000008,address_8,completed,2026-03-09,risk_rating_8
ID000009,ID000009,Demo Full_Name 9,2026-03-10,nationality_9,ID000009,ID000009,ID000009,address_9,approved,2026-03-10,risk_rating_9
ID000010,ID000010,Demo Full_Name 10,2026-03-11,nationality_10,ID000010,ID000010,ID000010,address_10,completed,2026-03-11,risk_rating_10
ID000011,ID000011,Demo Full_Name 11,2026-03-12,nationality_11,ID000011,ID000011,ID000011,address_11,pending,2026-03-12,risk_rating_11
ID000012,ID000012,Demo Full_Name 12,2026-03-13,nationality_12,ID000012,ID000012,ID000012,address_12,completed,2026-03-13,risk_rating_12
ID000013,ID000013,Demo Full_Name 13,2026-03-14,nationality_13,ID000013,ID000013,ID000013,address_13,rejected,2026-03-14,risk_rating_13
ID000014,ID000014,Demo Full_Name 14,2026-03-15,nationality_14,ID000014,ID000014,ID000014,address_14,approved,2026-03-15,risk_rating_14
ID000015,ID000015,Demo Full_Name 15,2026-03-16,nationality_15,ID000015,ID000015,ID000015,address_15,pending,2026-03-16,risk_rating_15
ID000016,ID000016,Demo Full_Name 16,2026-03-17,nationality_16,ID000016,ID000016,ID000016,address_16,completed,2026-03-17,risk_rating_16
ID000017,ID000017,Demo Full_Name 17,2026-03-18,nationality_17,ID000017,ID000017,ID000017,address_17,pending,2026-03-18,risk_rating_17
ID000018,ID000018,Demo Full_Name 18,2026-03-19,nationality_18,ID000018,ID000018,ID000018,address_18,rejected,2026-03-19,risk_rating_18
ID000019,ID000019,Demo Full_Name 19,2026-03-20,nationality_19,ID000019,ID000019,ID000019,address_19,pending,2026-03-20,risk_rating_19
ID000020,ID000020,Demo Full_Name 20,2026-03-21,nationality_20,ID000020,ID000020,ID000020,address_20,approved,2026-03-21,risk_rating_20
ID000021,ID000021,Demo Full_Name 21,2026-03-22,nationality_21,ID000021,ID000021,ID000021,address_21,approved,2026-03-22,risk_rating_21
ID000022,ID000022,Demo Full_Name 22,2026-03-23,nationality_22,ID000022,ID000022,ID000022,address_22,pending,2026-03-23,risk_rating_22
ID000023,ID000023,Demo Full_Name 23,2026-03-24,nationality_23,ID000023,ID000023,ID000023,address_23,pending,2026-03-24,risk_rating_23
ID000024,ID000024,Demo Full_Name 24,2026-03-25,nationality_24,ID000024,ID000024,ID000024,address_24,approved,2026-03-25,risk_rating_24
ID000025,ID000025,Demo Full_Name 25,2026-03-26,nationality_25,ID000025,ID000025,ID000025,address_25,rejected,2026-03-26,risk_rating_25
ID000026,ID000026,Demo Full_Name 26,2026-03-27,nationality_26,ID000026,ID000026,ID000026,address_26,rejected,2026-03-27,risk_rating_26
ID000027,ID000027,Demo Full_Name 27,2026-03-28,nationality_27,ID000027,ID000027,ID000027,address_27,approved,2026-03-28,risk_rating_27
ID000028,ID000028,Demo Full_Name 28,2026-03-01,nationality_28,ID000028,ID000028,ID000028,address_28,pending,2026-03-01,risk_rating_28
ID000029,ID000029,Demo Full_Name 29,2026-03-02,nationality_29,ID000029,ID000029,ID000029,address_29,pending,2026-03-02,risk_rating_29
ID000030,ID000030,Demo Full_Name 30,2026-03-03,nationality_30,ID000030,ID000030,ID000030,address_30,rejected,2026-03-03,risk_rating_30
ID000031,ID000031,Demo Full_Name 31,2026-03-04,nationality_31,ID000031,ID000031,ID000031,address_31,rejected,2026-03-04,risk_rating_31
ID000032,ID000032,Demo Full_Name 32,2026-03-05,nationality_32,ID000032,ID000032,ID000032,address_32,approved,2026-03-05,risk_rating_32
ID000033,ID000033,Demo Full_Name 33,2026-03-06,nationality_33,ID000033,ID000033,ID000033,address_33,completed,2026-03-06,risk_rating_33
ID000034,ID000034,Demo Full_Name 34,2026-03-07,nationality_34,ID000034,ID000034,ID000034,address_34,rejected,2026-03-07,risk_rating_34
ID000035,ID000035,Demo Full_Name 35,2026-03-08,nationality_35,ID000035,ID000035,ID000035,address_35,rejected,2026-03-08,risk_rating_35
ID000036,ID000036,Demo Full_Name 36,2026-03-09,nationality_36,ID000036,ID000036,ID000036,address_36,approved,2026-03-09,risk_rating_36
ID000037,ID000037,Demo Full_Name 37,2026-03-10,nationality_37,ID000037,ID000037,ID000037,address_37,pending,2026-03-10,risk_rating_37
ID000038,ID000038,Demo Full_Name 38,2026-03-11,nationality_38,ID000038,ID000038,ID000038,address_38,approved,2026-03-11,risk_rating_38
ID000039,ID000039,Demo Full_Name 39,2026-03-12,nationality_39,ID000039,ID000039,ID000039,address_39,pending,2026-03-12,risk_rating_39
ID000040,ID000040,Demo Full_Name 40,2026-03-13,nationality_40,ID000040,ID000040,ID000040,address_40,rejected,2026-03-13,risk_rating_40
ID000041,ID000041,Demo Full_Name 41,2026-03-14,nationality_41,ID000041,ID000041,ID000041,address_41,pending,2026-03-14,risk_rating_41
ID000042,ID000042,Demo Full_Name 42,2026-03-15,nationality_42,ID000042,ID000042,ID000042,address_42,rejected,2026-03-15,risk_rating_42
ID000043,ID000043,Demo Full_Name 43,2026-03-16,nationality_43,ID000043,ID000043,ID000043,address_43,approved,2026-03-16,risk_rating_43
ID000044,ID000044,Demo Full_Name 44,2026-03-17,nationality_44,ID000044,ID000044,ID000044,address_44,approved,2026-03-17,risk_rating_44
