transaction_id,card_number,merchant_name,merchant_category,amount,currency,timestamp,is_fraud,country
ID000001,card_number_1,Demo Merchant_Name 1,credit,63.7,USD,2026-03-02,False,DE
ID000002,card_number_2,Demo Merchant_Name 2,credit,77.4,EUR,2026-03-03,False,DE
ID000003,card_number_3,Demo Merchant_Name 3,risk,91.1,USD,2026-03-04,False,FR
ID000004,card_number_4,Demo Merchant_Name 4,retail,104.8,GBP,2026-03-05,False,US
ID000005,card_number_5,Demo Merchant_Name 5,credit,118.5,EUR,2026-03-06,False,FR
ID000006,card_number_6,Demo Merchant_Name 6,risk,132.2,EUR,2026-03-07,False,US
ID000007,card_number_7,Demo Merchant_Name 7,risk,145.9,EUR,2026-03-08,True,US
ID000008,card_number_8,Demo Merchant_Name 8,retail,159.6,EUR,2026-03-09,False,US
ID000009,card_number_9,Demo Merchant_Name 9,retail,173.3,EUR,2026-03-10,False,TN
ID000010,card_number_10,Demo Merchant_Name 10,operations,187.0,USD,2026-03-11,False,DE
ID000011,card_number_11,Demo Merchant_Name 11,customer,200.7,EUR,2026-03-12,False,TN
ID000012,card_number_12,Demo Merchant_Name 12,operations,214.4,USD,2026-03-13,False,TN
ID000013,card_number_13,Demo Merchant_Name 13,retail,228.1,USD,2026-03-14,False,TN
ID000014,card_number_14,Demo Merchant_Name 14,credit,241.8,GBP,2026-03-15,True,FR
ID000015,card_number_15,Demo Merchant_Name 15,retail,255.5,USD,2026-03-16,False,US
ID000016,card_number_16,Demo Merchant_Name 16,customer,269.2,GBP,2026-03-17,False,US
ID000017,card_number_17,Demo Merchant_Name 17,risk,282.9,EUR,2026-03-18,False,DE
ID000018,card_number_18,Demo Merchant_Name 18,risk,296.6,GBP,2026-03-19,False,DE
ID000019,card_number_19,Demo Merchant_Name 19,credit,310.3,USD,2026-03-20,False,US
ID000020,card_number_20,Demo Merchant_Name 20,risk,324.0,EUR,2026-03-21,False,US
ID000021,card_number_21,Demo Merchant_Name 21,risk,337.7,GBP,2026-03-22,True,TN
ID000022,card_number_22,Demo Merchant_Name 22,risk,351.4,GBP,2026-03-23,False,FR
ID000023,card_number_23,Demo Merchant_Name 23,credit,365.1,GBP,2026-03-24,False,DE
ID000024,card_number_24,Demo Merchant_Name 24,operations,378.8,EUR,2026-03-25,False,DE
ID000025,card_number_25,Demo Merchant_Name 25,credit,392.5,USD,2026-03-26,False,DE
ID000026,card_number_26,Demo Merchant_Name 26,retail,406.2,GBP,2026-03-27,False,TN
ID000027,card_number_27,Demo Merchant_Name 27,risk,419.9,GBP,2026-03-28,False,US
ID000028,card_number_28,Demo Merchant_Name 28,risk,433.6,USD,2026-03-01,True,TN
ID000029,card_number_29,Demo Merchant_Name 29,customer,447.3,USD,2026-03-02,False,FR
ID000030,card_number_30,Demo Merchant_Name 30,customer,461.0,USD,2026-03-03,False,TN
ID000031,card_number_31,Demo Merchant_Name 31,credit,474.7,EUR,2026-03-04,False,TN
ID000032,card_number_32,Demo Merchant_Name 32,customer,488.4,GBP,2026-03-05,False,FR
ID000033,card_number_33,Demo Merchant_Name 33,risk,502.1,EUR,2026-03-06,False,TN
ID000034,card_number_34,Demo Merchant_Name 34,customer,515.8,USD,2026-03-07,False,US
ID000035,card_number_35,Demo Merchant_Name 35,retail,529.5,EUR,2026-03-08,True,US
ID000036,card_number_36,Demo Merchant_Name 36,retail,543.2,EUR,2026-03-09,False,US
ID000037,card_number_37,Demo Merchant_Name 37,customer,556.9,USD,2026-03-10,False,DE
ID000038,card_number_38,Demo Merchant_Name 38,risk,570.6,EUR,2026-03-11,False,DE
ID000039,card_number_39,Demo Merchant_Name 39,customer,584.3,GBP,2026-03-12,False,TN
ID000040,card_number_40,Demo Merchant_Name 40,customer,598.0,USD,2026-03-13,False,FR
ID000041,card_number_41,Demo Merchant_Name 41,retail,611.7,USD,2026-03-14,False,DE
ID000042,card_number_42,Demo Merchant_Name 42,risk,625.4,GBP,2026-03-15,True,FR
ID000043,card_number_43,Demo Merchant_Name 43,customer,639.1,USD,2026-03-16,False,DE
ID000044,card_number_44,Demo Merchant_Name 44,credit,652.8,EUR,2026-03-17,False,DE
ID000045,card_number_45,Demo Merchant_Name 45,risk,666.5,GBP,2026-03-18,False,US
ID000046,card_number_46,Demo Merchant_Name 46,customer,680.2,EUR,2026-03-19,False,FR
ID000047,card_number_47,Demo Merchant_Name 47,customer,693.9,EUR,2026-03-20,False,FR
ID000048,card_number_48,Demo Merchant_Name 48,risk,707.6,EUR,2026-03-21,False,US
ID000049,card_number_49,Demo Merchant_Name 49,operations,721.3,EUR,2026-03-22,True,TN
ID000050,card_number_50,Demo Merchant_Name 50,operations,735.0,USD,2026-03-23,False,TN
ID000051,card_number_51,Demo Merchant_Name 51,customer,748.7,EUR,2026-03-24,False,DE
ID000052,card_number_52,Demo Merchant_Name 52,credit,762.4,GBP,2026-03-25,False,TN
ID000053,card_number_53,Demo Merchant_Name 53,credit,776.1,USD,2026-03-26,False,US
ID000054,card_number_54,Demo Merchant_Name 54,retail,789.8,GBP,2026-03-27,False,DE
ID000055,card_number_55,Demo Merchant_Name 55,retail,803.5,EUR,2026-03-28,False,FR
ID000056,card_number_56,Demo Merchant_Name 56,customer,817.2,USD,2026-03-01,True,TN
ID000057,card_number_57,Demo Merchant_Name 57,risk,830.9,USD,2026-03-02,False,FR
ID000058,card_number_58,Demo Merchant_Name 58,customer,844.6,USD,2026-03-03,False,DE
ID000059,card_number_59,Demo Merchant_Name 59,operations,858.3,EUR,2026-03-04,False,TN
ID000060,card_number_60,Demo Merchant_Name 60,operations,872.0,EUR,2026-03-05,False,US
ID000061,card_number_61,Demo Merchant_Name 61,retail,885.7,GBP,2026-03-06,False,TN
ID000062,card_number_62,Demo Merchant_Name 62,retail,899.4,EUR,2026-03-07,False,US
ID000063,card_number_63,Demo Merchant_Name 63,risk,913.1,GBP,2026-03-08,True,US
ID000064,card_number_64,Demo Merchant_Name 64,customer,926.8,EUR,2026-03-09,False,DE
ID000065,card_number_65,Demo Merchant_Name 65,credit,940.5,GBP,2026-03-10,False,US
ID000066,card_number_66,Demo Merchant_Name 66,retail,954.2,USD,2026-03-11,False,DE
ID000067,card_number_67,Demo Merchant_Name 67,risk,967.9,USD,2026-03-12,False,DE
